"","FIPS","Area","STATE","IS_D","tmp","prec","POPULATION","ST_AAP_TOT_TOT","ST_POPULATION","ST_GR_INCOME_PC"
"96","08019","Clear Creek, CO","COLORADO",0,36.7583333333333,2.46333333333333,8990,49996.9440766018,5119188,4.38942742903645
"97","08021","Conejos, CO","COLORADO",0,40.4666666666667,1.2175,8204,49996.9440766018,5119188,4.38942742903645
"98","08023","Costilla, CO","COLORADO",0,42.4166666666667,1.22583333333333,3591,49996.9440766018,5119188,4.38942742903645
"99","08025","Crowley, CO","COLORADO",0,52.0416666666667,0.746666666666667,5908,49996.9440766018,5119188,4.38942742903645
"100","08027","Custer, CO","COLORADO",0,41.75,1.36333333333333,4175,49996.9440766018,5119188,4.38942742903645
"101","08029","Delta, CO","COLORADO",0,45.9,1.35916666666667,30416,49996.9440766018,5119188,4.38942742903645
"102","08035","Douglas, CO","COLORADO",0,46.975,1.61083333333333,292547,49996.9440766018,5119188,4.38942742903645
"103","08039","Elbert, CO","COLORADO",0,47.5416666666667,1.39916666666667,23058,49996.9440766018,5119188,4.38942742903645
"104","08041","El Paso, CO","COLORADO",0,48.075,1.22833333333333,637718,49996.9440766018,5119188,4.38942742903645
"105","08043","Fremont, CO","COLORADO",0,45.5916666666667,0.959166666666667,47523,49996.9440766018,5119188,4.38942742903645
"106","08045","Garfield, CO","COLORADO",0,42.6166666666667,2.0325,56204,49996.9440766018,5119188,4.38942742903645
"107","08047","Gilpin, CO","COLORADO",0,38.85,2.19833333333333,5383,49996.9440766018,5119188,4.38942742903645
"108","08049","Grand, CO","COLORADO",0,36.4083333333333,2.17666666666667,14556,49996.9440766018,5119188,4.38942742903645
"109","08051","Gunnison, CO","COLORADO",0,37.7,1.75083333333333,15196,49996.9440766018,5119188,4.38942742903645
"110","08053","Hinsdale, CO","COLORADO",0,35.2833333333333,2.24833333333333,823,49996.9440766018,5119188,4.38942742903645
"111","08055","Huerfano, CO","COLORADO",0,47.15,1.21666666666667,6519,49996.9440766018,5119188,4.38942742903645
"112","08057","Jackson, CO","COLORADO",0,36,2.29333333333333,1355,49996.9440766018,5119188,4.38942742903645
"113","08059","Jefferson, CO*","COLORADO",0,45.95,1.66083333333333,540513,49996.9440766018,5119188,4.38942742903645
"114","08063","Kit Carson, CO","COLORADO",0,50.8166666666667,1.51833333333333,8175,49996.9440766018,5119188,4.38942742903645
"115","08065","Lake, CO","COLORADO",0,34.0916666666667,2.115,7277,49996.9440766018,5119188,4.38942742903645
"116","08067","La Plata, CO","COLORADO",0,44.4083333333333,1.595,51779,49996.9440766018,5119188,4.38942742903645
"117","08069","Larimer, CO","COLORADO",0,41.825,1.99333333333333,305227,49996.9440766018,5119188,4.38942742903645
"118","08075","Logan, CO","COLORADO",0,49.75,1.76583333333333,22515,49996.9440766018,5119188,4.38942742903645
"119","08081","Moffat, CO","COLORADO",0,42.8,1.31583333333333,13438,49996.9440766018,5119188,4.38942742903645
"120","08083","Montezuma, CO","COLORADO",0,48.1916666666667,1.14583333333333,25423,49996.9440766018,5119188,4.38942742903645
"121","08085","Montrose, CO","COLORADO",0,46.85,1.17666666666667,40917,49996.9440766018,5119188,4.38942742903645
"122","08087","Morgan, CO","COLORADO",0,49.3333333333333,1.33083333333333,28463,49996.9440766018,5119188,4.38942742903645
"123","08089","Otero, CO","COLORADO",0,53.5,0.850833333333333,18894,49996.9440766018,5119188,4.38942742903645
"124","08091","Ouray, CO","COLORADO",0,41.0666666666667,1.85,4410,49996.9440766018,5119188,4.38942742903645
"125","08093","Park, CO","COLORADO",0,37.9166666666667,1.45666666666667,15895,49996.9440766018,5119188,4.38942742903645
"126","08095","Phillips, CO","COLORADO",0,49.925,1.70333333333333,4422,49996.9440766018,5119188,4.38942742903645
"127","08099","Prowers, CO","COLORADO",0,53.9083333333333,1.0175,12484,49996.9440766018,5119188,4.38942742903645
"128","08103","Rio Blanco, CO","COLORADO",0,43.2416666666667,1.715,6774,49996.9440766018,5119188,4.38942742903645
"129","08105","Rio Grande, CO","COLORADO",0,39.65,0.980833333333333,11944,49996.9440766018,5119188,4.38942742903645
"130","08107","Routt, CO","COLORADO",0,38.5916666666667,2.49,23174,49996.9440766018,5119188,4.38942742903645
"131","08109","Saguache, CO","COLORADO",0,39.3,1.12333333333333,6124,49996.9440766018,5119188,4.38942742903645
"132","08113","San Miguel, CO","COLORADO",0,44.2666666666667,1.46916666666667,7485,49996.9440766018,5119188,4.38942742903645
